Date,Population_Data,Regression_Data,LSTM_Data,S_Data
1900-01-01,101323.0,,,
1900-02-01,97325.0,,,
1900-03-01,101941.0,,,
1900-04-01,102185.0,,,
1900-05-01,97484.0,,,
1900-06-01,103028.0,,,
1900-07-01,99766.0,,,
1900-08-01,100087.0,,,
1900-09-01,100279.0,,,
1900-10-01,97904.0,,,
1900-11-01,98983.0,,,
1900-12-01,100623.0,,,
1901-01-01,99186.0,,,
1901-02-01,102370.0,,,
1901-03-01,100759.0,,,
1901-04-01,100296.0,,,
1901-05-01,98839.0,,,
1901-06-01,102181.0,,,
1901-07-01,100858.0,,,
1901-08-01,99087.0,,,
1901-09-01,100310.0,,,
1901-10-01,98139.0,,,
1901-11-01,95300.0,,,
1901-12-01,98683.0,,,
1902-01-01,97834.0,,,
1902-02-01,96685.0,,,
1902-03-01,100103.0,,,
1902-04-01,99371.0,,,
1902-05-01,96609.0,,,
1902-06-01,99593.0,,,
1902-07-01,100556.0,,,
1902-08-01,98894.0,,,
1902-09-01,100173.0,,,
1902-10-01,99101.0,,,
1902-11-01,98325.0,,,
1902-12-01,98459.0,,,
1903-01-01,100967.0,,,
1903-02-01,94196.0,,,
1903-03-01,100735.0,,,
1903-04-01,100767.0,,,
1903-05-01,99254.0,,,
1903-06-01,99077.0,,,
1903-07-01,101175.0,,,
1903-08-01,101934.0,,,
1903-09-01,100116.0,,,
1903-10-01,98352.0,,,
1903-11-01,103482.0,,,
1903-12-01,104890.0,,,
1904-01-01,102479.0,,,
1904-02-01,102900.0,,,
1904-03-01,99159.0,,,
1904-04-01,100946.0,,,
1904-05-01,101761.0,,,
1904-06-01,100306.0,,,
1904-07-01,98703.0,,,
1904-08-01,100123.0,,,
1904-09-01,101565.0,,,
1904-10-01,99602.0,,,
1904-11-01,101518.0,,,
1904-12-01,98191.0,,,
1905-01-01,96309.0,,,
1905-02-01,98645.0,,,
1905-03-01,100608.0,,,
1905-04-01,102450.0,,,
1905-05-01,98568.0,,,
1905-06-01,102188.0,,,
1905-07-01,103190.0,,,
1905-08-01,96042.0,,,
1905-09-01,96445.0,,,
1905-10-01,99391.0,,,
1905-11-01,97943.0,,,
1905-12-01,100269.0,,,
1906-01-01,100229.0,,,
1906-02-01,104342.0,,,
1906-03-01,102456.0,,,
1906-04-01,97096.0,,,
1906-05-01,99812.0,,,
1906-06-01,99081.0,,,
1906-07-01,101605.0,,,
1906-08-01,96389.0,,,
