Date,Population_Data,Regression_Data,LSTM_Data,S_Data
1900-01-01,230.0,,,
1900-02-01,229.10969707094785,,,
1900-03-01,228.30727624552,,,
1900-04-01,227.420828608404,,,
1900-05-01,226.56496196743927,,,
1900-06-01,225.68265913519005,,,
1900-07-01,224.83088172739616,,,
1900-08-01,223.9528851721665,,,
1900-09-01,223.0771389338232,,,
1900-10-01,222.23182445485983,,,
1900-11-01,221.3606280253075,,,
1900-12-01,220.5197947187965,,,
1901-01-01,219.65330957018807,,,
1901-02-01,218.78928056013228,,,
1901-03-01,218.01101305207263,,,
1901-04-01,217.15177384156144,,,
1901-05-01,216.32270544529445,,,
1901-06-01,215.4685772254824,,,
1901-07-01,214.64453308093368,,,
1901-08-01,213.7956773239736,,,
1901-09-01,212.94956289637204,,,
1901-10-01,212.1333918725616,,,
1901-11-01,211.29279343958345,,,
1901-12-01,210.4820386067728,,,
1902-01-01,209.64711764057088,,,
1902-02-01,208.81514382539387,,,
1902-03-01,208.06625143227365,,,
1902-04-01,207.2400019242496,,,
1902-05-01,206.44332655579228,,,
1902-06-01,205.62315422429975,,,
1902-07-01,204.83243812610823,,,
1902-08-01,204.0185044433001,,,
1902-09-01,203.20780310232263,,,
1902-10-01,202.42637031677705,,,
1902-11-01,201.62215115625543,,,
1902-12-01,200.8470695802571,,,
1903-01-01,200.0494940723441,,,
1903-02-01,199.25535672792824,,,
1903-03-01,198.54106124731868,,,
1903-04-01,197.75358271766413,,,
1903-05-01,196.9948951601285,,,
1903-06-01,196.2144599928379,,,
1903-07-01,195.46266672411548,,,
1903-08-01,194.68943639134167,,,
1903-09-01,193.91992941287077,,,
1903-10-01,193.17882964870196,,,
1903-11-01,192.4167710365192,,,
1903-12-01,191.6829575004452,,,
1904-01-01,190.9285087267035,,,
1904-02-01,190.1779891289312,,,
1904-03-01,189.47948420236543,,,
1904-04-01,188.7366879291868,,,
1904-05-01,188.02171005513588,,,
1904-06-01,187.28692597723804,,,
1904-07-01,186.5797799722426,,,
1904-08-01,185.85316956177837,,,
1904-09-01,185.13077486332887,,,
1904-10-01,184.43573641833416,,,
1904-11-01,183.72175891908972,,,
1904-12-01,183.03494428243195,,,
1905-01-01,182.32954545454544,,,
1905-02-01,181.6285681603401,,,
1905-03-01,180.99926246886145,,,
1905-04-01,180.30681556492905,,,
1905-05-01,179.6410303961967,,,
1905-06-01,178.95756187337753,,,
1905-07-01,178.30054359224803,,,
1905-08-01,177.62621492269486,,,
1905-09-01,176.95659297762867,,,
1905-10-01,176.31309244840762,,,
1905-11-01,175.65285388837887,,,
1905-12-01,175.01851218604224,,,
1906-01-01,174.36781848320382,,,
1906-02-01,173.72203732651874,,,
1906-03-01,173.1430082465589,,,
1906-04-01,172.50669198775518,,,
1906-05-01,171.8956943074533,,,
1906-06-01,171.26932261559517,,,
1906-07-01,170.66802684144366,,,
1906-08-01,170.05176118868394,,,
1906-09-01,169.44069327288338,,,
1906-10-01,168.854325442548,,,
1906-11-01,168.25360709761728,,,
1906-12-01,167.67733311271377,,,
1907-01-01,167.0871258108058,,,
1907-02-01,166.50232206752335,,,
1907-03-01,165.97879139665355,,,
1907-04-01,165.4043870588608,,,
1907-05-01,164.85377165010144,,,
1907-06-01,164.2902780650867,,,
1907-07-01,163.75029958102516,,,
1907-08-01,163.19787822094125,,,
1907-09-01,162.6511456102887,,,
1907-10-01,162.12750526195092,,,
1907-11-01,161.59208840800065,,,
1907-12-01,161.07947692364223,,,
1908-01-01,160.55553729854702,,,
1908-02-01,160.03749224454964,,,
1908-03-01,159.55824279000828,,,
1908-04-01,159.05172505117574,,,
1908-05-01,158.5672751412086,,,
1908-06-01,158.07263698807097,,,
1908-07-01,157.59976158304374,,,
1908-08-01,157.11716448775385,,,
1908-09-01,156.6407484996071,,,
1908-10-01,156.1856252857508,,,
1908-11-01,155.7214938872232,,,
1908-12-01,155.27833711758845,,,
1909-01-01,154.82665178083278,,,
1909-02-01,154.3813533728868,,,
1909-03-01,153.98467274868088,,,
1909-04-01,153.55164532173615,,,
1909-05-01,153.13878257770833,,,
1909-06-01,152.71860092229088,,,
1909-07-01,152.3182477017505,,,
1909-08-01,151.91107329001306,,,
1909-09-01,151.5105709978911,,,
1909-10-01,151.12938016042935,,,
