taxonid,kingdom_name,phylum_name,class_name,order_name,family_name,genus_name,scientific_name,taxonomic_authority,infra_rank,infra_name,population,category,main_common_name
6508,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Desmodilliscus,Desmodilliscus braueri,"Wettstein, 1916",,,,LC,Pouched Gerbil
6557,ANIMALIA,CHORDATA,MAMMALIA,PERISSODACTYLA,RHINOCEROTIDAE,Diceros,Diceros bicornis,"(Linnaeus, 1758)",,,,CR,Black Rhino
6622,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Diomys,Diomys crumpi,"Thomas, 1917",,,,DD,Crump's Mouse
6638,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,DIPLOGLOSSIDAE,Diploglossus,Diploglossus montisserrati,"Underwood, 1964",,,,CR,Montserrat Galliwasp
6660,ANIMALIA,MOLLUSCA,GASTROPODA,ARCHITAENIOGLOSSA,DIPLOMMATINIDAE,Diplommatina,Diplommatina circumstomata,"Kuroda &amp; Abe, 1980",,,,DD,
6675,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Dipodomys,Dipodomys elator,"Merriam, 1894",,,,VU,Texas Kangaroo Rat
6693,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,HETEROMYIDAE,Dipodomys,Dipodomys spectabilis,"Merriam, 1890",,,,NT,Banner-tailed Kangaroo Rat
6723,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,GEOMITRIDAE,Wollastonaria,Wollastonaria turricula,"(R.T. Lowe, 1831)",,,,VU,Cima Discula
6735,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,DISCIDAE,Atlantica,Atlantica guerinianus,"(R.T. Lowe, 1852)",,,,CR,Madeiran Land Snail
6770,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Dobsonia,Dobsonia minor,"(Dobson, 1879)",,,,LC,Lesser Bare-backed Fruit Bat
6782,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HELICARIONIDAE,Dolapex,Dolapex amiculus,"Iredale, 1945",,,,EN,
6802,ANIMALIA,CHORDATA,MAMMALIA,DIPROTODONTIA,MACROPODIDAE,Dorcopsulus,Dorcopsulus vanheurni,"(Thomas, 1922)",,,,NT,Small Dorcopsis
6822,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Dremomys,Dremomys pernyi,"(Milne-Edwards, 1867)",,,,LC,Perny's Long-nosed Squirrel
6858,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,GLIRIDAE,Dryomys,Dryomys nitedula,"(Pallas, 1778)",,,,LC,Forest Dormouse
6917,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,EUCONULIDAE,Dupontia,Dupontia proletaria,"Morelet, 1860",,,,EX,
6930,ANIMALIA,ARTHROPODA,MAXILLOPODA,CALANOIDA,DIAPTOMIDAE,Dussartius,Dussartius baeticus,"(Dussart, 1967)",,,,VU,
6981,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ECHIMYIDAE,Toromys,Toromys grandis,"(Wagner, 1845)",,,,LC,Giant Tree Rat
7011,ANIMALIA,ECHINODERMATA,ECHINOIDEA,CAMARODONTA,ECHINIDAE,Echinus,Echinus esculentus,"Linnaeus, 1758",,,,LR/nt,European Edible Sea Urchin
7022,ANIMALIA,CHORDATA,ACTINOPTERYGII,GOBIIFORMES,GOBIIDAE,Economidichthys,Economidichthys pygmaeus,"(Holly, 1929)",,,,LC,Western Greece Goby
7084,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Eidolon,Eidolon helvum,"(Kerr, 1792)",,,,NT,African Straw-coloured Fruit-bat
7123,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Elasmias,Elasmias kitaiwojimanum,"(Pilsbry and Hirase, 1903)",,,,VU,
7138,ANIMALIA,CHORDATA,MAMMALIA,MACROSCELIDEA,MACROSCELIDIDAE,Elephantulus,Elephantulus rupestris,"(A. Smith, 1831)",,,,LC,Western Rock Sengi
7150,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,ELEUTHERODACTYLIDAE,Eleutherodactylus,Eleutherodactylus eneidae,"Rivero, 1959",,,,CR,Eneida's Coqui
7587,ANIMALIA,MOLLUSCA,GASTROPODA,SORBEOCONCHA,PLEUROCERIDAE,Elimia,Elimia vanuxemiana,"I. Lea, 1843",,,,EX,Cobble Elimia
7597,ANIMALIA,MOLLUSCA,GASTROPODA,SORBEOCONCHA,PLEUROCERIDAE,Elimia,Elimia pygmaea,"(Smith, 1936)",,,,EX,Pygmy Elimia
7607,ANIMALIA,MOLLUSCA,GASTROPODA,SORBEOCONCHA,PLEUROCERIDAE,Elimia,Elimia haysiana,"I. Lea, 1843",,,,VU,Silt Elimia
7617,ANIMALIA,MOLLUSCA,GASTROPODA,SORBEOCONCHA,PLEUROCERIDAE,Elimia,Elimia troostiana,"(Lea, 1838)",,,,CR,Mossy Elimia
7629,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONIDA,UNIONIDAE,Ellipsaria,Ellipsaria lineolata,"Rafinesque, 1820",,,,LR/nt,
7641,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONIDA,UNIONIDAE,Elliptio,Elliptio congaraea,"I. Lea, 1831",,,,LR/nt,
7651,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONIDA,UNIONIDAE,Elliptio,Elliptio waltoni,"(Wright, 1888)",,,,DD,Florida Lance
7668,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,EMBALLONURIDAE,Emballonura,Emballonura raffrayana,"Dobson, 1879",,,,LC,Raffray's Sheath-tailed Bat
7720,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,COENAGRIONIDAE,Enallagma,Enallagma recurvatum,"Davis, 1913",,,,LC,Pine Barrens Bluet
7741,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,PARASTACIDAE,Engaeus,Engaeus spinicaudatus,"Horwitz, 1990",,,,CR,Scottsdale Burrowing Crayfish
7778,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,BLENNIIDAE,Entomacrodus,Entomacrodus cadenati,"Springer, 1967",,,,LC,West African Rockhopper
7798,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Eothenomys,Eothenomys custos,"(Thomas, 1912)",,,,LC,Southwest China Red-backed Vole
7815,ANIMALIA,CHORDATA,REPTILIA,SQUAMATA,BOIDAE,Chilabothrus,Chilabothrus angulifer,"(Cocteau &amp; Bibron, 1840)",,,,LC,Cuban Boa
7844,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Epimyrma,Epimyrma ravouxi,"(André, 1896)",,,,VU,Ravoux's Slavemaker Ant
7854,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,EPINEPHELIDAE,Hyporthodus,Hyporthodus drummondhayi,"(Goode &amp; Bean, 1878)",,,,DD,Speckled Hind
7866,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONIDA,UNIONIDAE,Epioblasma,Epioblasma capsaeformis,"(Lea, 1834)",,,,EN,Oyster Mussel
7880,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONIDA,UNIONIDAE,Epioblasma,Epioblasma propinqua,"(I. Lea, 1857)",,,,EX,Nearby Pearly Mussel
7895,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONIDA,UNIONIDAE,Epioblasma,Epioblasma stewardsonii,"(I. Lea, 1852)",,,,EX,Steward's Pearly Mussel
7907,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,PTEROPODIDAE,Epomops,Epomops buettikoferi,"(Matschie, 1899)",,,,LC,Buettikofer's Epauletted Fruit Bat
7921,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,Eptesicus dimissus,"Thomas, 1916",,,,DD,Surat Serotine
7933,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,VESPERTILIONIDAE,Eptesicus,Eptesicus kobayashii,"Mori, 1928",,,,DD,Kobayashi's Serotine
7950,ANIMALIA,CHORDATA,MAMMALIA,PERISSODACTYLA,EQUIDAE,Equus,Equus grevyi,"Oustalet, 1882",,,,EN,Grevy's Zebra
7963,ANIMALIA,CHORDATA,MAMMALIA,PERISSODACTYLA,EQUIDAE,Equus,Equus hemionus ssp. khur,"Lesson, 1827",ssp.,khur,,NT,Indian Wild Ass
7990,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HELMINTHOGLYPTIDAE,Eremarionta,Eremarionta indioensis ssp. cathedralis,"(Willett, 1930)",ssp.,cathedralis,,DD,Cathedral Desert Snail
8004,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,ERETHIZONTIDAE,Erethizon,Erethizon dorsatum,"(Linnaeus, 1758)",,,,LC,North American Porcupine
8035,ANIMALIA,ARTHROPODA,INSECTA,ODONATA,GOMPHIDAE,Erpetogomphus,Erpetogomphus lampropeltis ssp. lampropeltis,"Kennedy, 1918",ssp.,lampropeltis,,VU,Serpent Ringtail
8113,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,PERCIDAE,Etheostoma,Etheostoma ditrema,"Ramsey &amp; Suttkus, 1965",,,,EN,Coldwater Darter
8123,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,PERCIDAE,Etheostoma,Etheostoma okaloosae,"(Fowler, 1941)",,,,LC,Okaloosa Darter
8134,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,PERCIDAE,Ammocrypta,Ammocrypta pellucida,"(Putnam, 1863)",,,,LC,Eastern Sand Darter
8144,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,PARASTACIDAE,Euastacus,Euastacus monteithorum,"Morgan, 1989",,,,CR,
8161,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ENIDAE,Euchondrus,Euchondrus ramonensis,"(Granot, 1988)",,,,CR,
8181,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,BRADYBAENIDAE,Euhadra,Euhadra murayamai,"Habe, 1976",,,,DD,
8205,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,LEMURIDAE,Eulemur,Eulemur cinereiceps,"(A. Grandidier &amp; Milne-Edwards, 1890)",,,,CR,White-collared Lemur
8241,ANIMALIA,CHORDATA,MAMMALIA,CHIROPTERA,MOLOSSIDAE,Eumops,Eumops auripendulus,"(Shaw, 1800)",,,,LC,Shaw’s Mastiff Bat
8261,ANIMALIA,ANNELIDA,POLYCHAETA,EUNICIDA,EUNICIDAE,Eunice,Eunice viridis,"(Gray, 1847)",,,,DD,Samoan Palolo Worm
8331,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NYMPHALIDAE,Euploea,Euploea configurata,"Felder &amp; Felder, 1865",,,,LR/lc,Sulawesi Striped Blue Crow
8341,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NYMPHALIDAE,Euploea,Euploea magou,"Martin, 1912",,,,VU,Magou
8351,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,NYMPHALIDAE,Euploea,Euploea algea ssp. schmeltzi,,ssp.,schmeltzi,,VU,
8391,ANIMALIA,CHORDATA,AMPHIBIA,CAUDATA,PLETHODONTIDAE,Eurycea,Eurycea nana,"Bishop, 1941",,,,CR,San Marcos Salamander
8431,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Evarra,Evarra bustamantei,"Navarro, 1955",,,,EX,Mexican Dace
8489,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,CAMBARIDAE,Fallicambarus,Fallicambarus danielae,"Hobbs, 1975",,,,NT,Speckled Burrowing Crayfish
8541,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,FELIDAE,Felis,Felis margarita,"Loche, 1858",,,,LC,Sand Cat
8576,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,HYDROBIIDAE,Fissuria,Fissuria boui,"Boeters, 1981",,,,NT,
8633,ANIMALIA,MOLLUSCA,GASTROPODA,LITTORINIMORPHA,TATEIDAE,Fonscochlea,Fonscochlea zeidleri,"Ponder, Hershler &amp; Jenkins 1989",,,,LR/nt,
8656,ANIMALIA,ARTHROPODA,INSECTA,HYMENOPTERA,FORMICIDAE,Formicoxenus,Formicoxenus nitidulus,"(Nylander, 1846)",,,,VU,
8706,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,FUNDULIDAE,Fundulus,Fundulus albolineatus,"Gilbert, 1891",,,,EX,Whiteline Topminnow
8761,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,SCIURIDAE,Funisciurus,Funisciurus leucogenys,"(Waterhouse, 1842)",,,,LC,Orange Headed Tree Squirrel
8776,ANIMALIA,MOLLUSCA,BIVALVIA,UNIONIDA,UNIONIDAE,Fusconaia,Fusconaia askewi,"Marsh, 1896",,,,LR/nt,
8786,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,GALAGIDAE,Galago,Galago gallarum,"Thomas, 1901",,,,LC,Somali Lesser Galago
8810,ANIMALIA,CHORDATA,ACTINOPTERYGII,OSMERIFORMES,GALAXIIDAE,Galaxias,Galaxias fuscus,"Mack, 1936",,,,EN,Barred Galaxias
8821,ANIMALIA,CHORDATA,ACTINOPTERYGII,OSMERIFORMES,GALAXIIDAE,Galaxiella,Galaxiella munda,"McDowall, 1978",,,,EN,Western Mud Minnow
8889,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINODONTIFORMES,POECILIIDAE,Gambusia,Gambusia eurystoma,"Miller, 1975",,,,CR,Widemouth Gambusia
8901,ANIMALIA,ARTHROPODA,MALACOSTRACA,AMPHIPODA,GAMMARIDAE,Gammarus,Gammarus bousfieldi,"Cole &amp; Minckley, 1961",,,,VU,Bousfield's Amphipod
8953,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,VERTIGINIDAE,Gastrocopta,Gastrocopta chichijimana,"Pilsbry, 1916",,,,EX,
8973,ANIMALIA,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Eudorcas,Eudorcas rufifrons,"(Gray, 1846)",,,,VU,Red-fronted Gazelle
8992,ANIMALIA,CHORDATA,MAMMALIA,ARTIODACTYLA,BOVIDAE,Eudorcas,Eudorcas albonotata,"(W. Rothschild, 1903)",,,,LC,Mongalla Gazelle
9007,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TESTUDINIDAE,Chelonoidis,Chelonoidis chilensis,"(Gray, 1870)",,,,VU,Chaco Tortoise
9021,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,TESTUDINIDAE,Chelonoidis,Chelonoidis duncanensis,"(Pritchard, 1996)",,,,VU,Pinzón Giant Tortoise
9032,ANIMALIA,CHORDATA,AMPHIBIA,ANURA,MYOBATRACHIDAE,Geocrinia,Geocrinia vitellina,"Wardell-Johnson &amp; Roberts, 1989",,,,VU,Orange-bellied Frog
9056,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,GEOMYIDAE,Geomys,Geomys tropicalis,"Goldman, 1915",,,,EN,Tropical Pocket Gopher
9092,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Gerbillurus,Gerbillurus paeba,"(A. Smith, 1836)",,,,LC,Hairy-footed Gerbil
9104,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Gerbillus,Gerbillus amoenus,"(de Winton, 1902)",,,,LC,Pleasant Gerbil
9120,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Gerbillus,Gerbillus famulus,"Yerbury &amp; Thomas, 1895",,,,LC,Black-tufted Gerbil
9131,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Gerbillus,Gerbillus juliani,"(St Leger, 1935)",,,,LC,Julian's Gerbil
9142,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Gerbillus,Gerbillus principulus,"(Thomas &amp; Hinton, 1923)",,,,DD,Principal Gerbil
9175,ANIMALIA,MOLLUSCA,GASTROPODA,NEOGASTROPODA,MARGINELLIDAE,Gibberula,Gibberula cucullata,"Gofas &amp; Fernandes, 1987",,,,DD,
9186,ANIMALIA,CHORDATA,ACTINOPTERYGII,CYPRINIFORMES,LEUCISCIDAE,Gila,Gila elegans,"Baird & Girard, 1853",,,,CR,Bonytail
9199,ANIMALIA,MOLLUSCA,GASTROPODA,PYLOPULMONATA,GLACIDORBIDAE,Benthodorbis,Benthodorbis pawpela,"(Smith, 1979)",,,,DD,Great Lake Snail
9251,ANIMALIA,ARTHROPODA,MALACOSTRACA,DECAPODA,POTAMONAUTIDAE,Globonautes,Globonautes macropus,"(Rathbun, 1898)",,,,EN,Tree Hole Crab
9272,ANIMALIA,CHORDATA,ACTINOPTERYGII,ATHERINIFORMES,MELANOTAENIIDAE,Glossolepis,Glossolepis wanamensis,"Allen &amp; Kailola, 1979",,,,CR,Lake Wanam Rainbowfish
9287,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CAMAENIDAE,Glyptorhagada,Glyptorhagada euglypta,"Tate, 1899",,,,VU,
9299,ANIMALIA,CHORDATA,ACTINOPTERYGII,GOBIIFORMES,ELEOTRIDAE,Gobiomorphus,Gobiomorphus alpinus,"Stokell, 1962",,,,LC,Tarndale Bully
9329,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,STREPTAXIDAE,Gonidomus,Gonidomus newtoni,"Adams, 1867",,,,EX,
9392,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,STREPTAXIDAE,Gonospira,Gonospira nevilli,"Adams, 1867",,,,EX,
9404,ANIMALIA,CHORDATA,MAMMALIA,PRIMATES,HOMINIDAE,Gorilla,Gorilla gorilla,"(Savage, 1847)",,,,CR,Western Gorilla
9450,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Grammomys,Grammomys aridulus,"Thomas &amp; Hinton, 1923",,,,DD,Arid Thicket Rat
9460,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Grammomys,Grammomys kuru,"(Thomas &amp; Wroughton, 1907)",,,,LC,Eastern Rainforest Grammomys
9473,ANIMALIA,ARTHROPODA,INSECTA,LEPIDOPTERA,PAPILIONIDAE,Graphium,Graphium levassori,"Oberthür, 1890",,,,EN,White Graphium
9484,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,GLIRIDAE,Graphiurus,Graphiurus lorraineus,"Dollman, 1910",,,,LC,Lorrain Dormouse
9497,ANIMALIA,CHORDATA,REPTILIA,TESTUDINES,EMYDIDAE,Graptemys,Graptemys caglei,"Haynes &amp; McKown, 1974",,,,EN,Cagle's Map Turtle
9529,ANIMALIA,ARTHROPODA,INSECTA,GRYLLOBLATTODEA,GRYLLOBLATTIDAE,Grylloblatta,Grylloblatta chirurgica,"Gurney, 1961",,,,VU,Mount St. Helens' Grylloblattid
9540,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,STREPTAXIDAE,Gulella,Gulella cuspidata,Verdcourt,,,,DD,
9550,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,STREPTAXIDAE,Gulella,Gulella ludwigi,Verdcourt &amp; Venmans,,,,DD,
9560,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,ACHATINELLIDAE,Gulickia,Gulickia alexandri,"Cooke, 1915",,,,CR,
9593,ANIMALIA,MOLLUSCA,GASTROPODA,HYGROPHILA,PLANORBIDAE,Gyraulus,Gyraulus cockburni,"(Godwin-Austen, 1883)",,,,EN,
9610,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,CRICETIDAE,Habromys,Habromys lophurus,"(Osgood, 1904)",,,,NT,Crested-tailed Deer Mouse
9660,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,PHOCIDAE,Halichoerus,Halichoerus grypus,"(Fabricius, 1791)",,,,LC,Grey Seal
9679,ANIMALIA,CHORDATA,MAMMALIA,RODENTIA,MURIDAE,Hapalomys,Hapalomys delacouri,"Thomas, 1927",,,,NT,Lesser Marmoset Rat
9698,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,HELICARIONIDAE,Harmogenanina,Harmogenanina detecta,"Ferussac, 1827",,,,DD,
9725,ANIMALIA,CHORDATA,ACTINOPTERYGII,CICHLIFORMES,CICHLIDAE,Haplochromis,Haplochromis michaeli,"Trewavas, 1928",,,,CR,
9747,ANIMALIA,MOLLUSCA,GASTROPODA,ARCHITAENIOGLOSSA,PUPINIDAE,Hedleya,Hedleya macleayi,"Cox, 1892",,,,VU,
9769,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,CHAROPIDAE,Helenoconcha,Helenoconcha sexdentata,"(Smith, 1893)",,,,EX,
9793,ANIMALIA,MOLLUSCA,GASTROPODA,STYLOMMATOPHORA,GEOMITRIDAE,Xerotricha,Xerotricha gasulli,"(Ortiz de Zarate, 1950)",,,,EN,
